Site,DepthOri,Depth,SourcePaleodepth,,Mask,assessment,Type,File,doi,lonbci,latbci,Proxy,lon0,lat0,lonb,latb,lonh,lath,lonbc,latbc,deepMIPprePETM,deepMIPprePETMstd,deepMIPprePETMn,deepMIPPETM,deepMIPPETMstd,deepMIPPETMn,,prePETMmean,prePETMstd,prePETMn,peakPETM,peakPETMstd,peakPETMn,PETMmean,PETMstd,PETMn,postPETMmean,postPETMstd,postPETMn,Glassy,mg_bcp_red,d18osw_local,d18osw_1x,d18osw_3x,d18osw_6x,d18osw_9x,JESS NOTES
DSDP 260,5080,5080,"Van Andel, 1975",https://doi.org/10.1016/0012-821X(75)90086-2,Indian,"Panchunk et al., 2008",caco3,"Van Andel, 1975",https://doi.org/10.1016/0012-821X(75)90086-2,86.9,-37.5,caco3,110.299,-16.1445,106.9,-38.7,96.35,-38.95,96.9,-38.7,0,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,
DSDP 261,5400,5400,"Van Andel, 1975",https://doi.org/10.1016/0012-821X(75)90086-2,Indian,"Panchunk et al., 2008",caco3,"Van Andel, 1975",https://doi.org/10.1016/0012-821X(75)90086-2,96.45,-33.5,caco3,117.893,-12.9472,116.45,-35.45,106.55,-36.75,106.45,-35.45,0,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,
DSDP 303,5540,5540,"Van Andel, 1975",https://doi.org/10.1016/0012-821X(75)90086-2,Pacific,"Panchunk et al., 2008",caco3,"Van Andel, 1975",https://doi.org/10.1016/0012-821X(75)90086-2,-168.05,36.95,caco3,154.451,40.8083,-158.05,36.95,-164.1,30.85,-168.05,36.95,0,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,
DSDP 304,5600,5600,"Van Andel, 1975",https://doi.org/10.1016/0012-821X(75)90086-2,Pacific,"Panchunk et al., 2008",caco3,"Van Andel, 1975",https://doi.org/10.1016/0012-821X(75)90086-2,-167.65,34.85,caco3,155.07,39.3378,-157.65,34.85,-163.75,28.75,-167.65,34.85,0,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,
DSDP 307,5520,5520,"Van Andel, 1975",https://doi.org/10.1016/0012-821X(75)90086-2,Pacific,"Panchunk et al., 2008",caco3,"Van Andel, 1975",https://doi.org/10.1016/0012-821X(75)90086-2,-164.45,24.05,caco3,161.005,28.5877,-154.45,24.05,-160.35,17.95,-164.45,24.05,0,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,
DSDP 315,4120,4120,"Van Andel, 1975",https://doi.org/10.1016/0012-821X(75)90086-2,Pacific,"Panchunk et al., 2008",caco3,"Van Andel, 1975",https://doi.org/10.1016/0012-821X(75)90086-2,-141,-6.4,caco3,-158.526,4.171,-119.45,-5.95,-124.15,-10,-129.45,-5.95,0,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,
DSDP 316,4020,4020,"Van Andel, 1975",https://doi.org/10.1016/0012-821X(75)90086-2,Pacific,"Panchunk et al., 2008",caco3,"Van Andel, 1975",https://doi.org/10.1016/0012-821X(75)90086-2,-137.75,-10.05,caco3,-157.128,0.0907,-117.75,-10.05,-122.1,-14,-127.75,-10.05,0,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,
DSDP 401,1800,1800,"Pak & Miller, 1992",https://doi.org/10.1029/92PA01234,NorthAtlantic,this study,caco3,"Bornemann et al., 2014",https://doi.org/10.1016/j.epsl.2014.03.017,-10.95,41.8,caco3,-8.810333333,47.4275,-4.25,35.55,-10.95,41.8,-10.95,41.8,71.9,2.2,3,49.175,8.169,11,,71.9,2.2,3,49.175,8.169,11,49.175,8.169,11,38.62177287,4.04228428,15,,,,,,,,
DSDP 527,3400,3400,"Thomas & Shackleton, 1996",https://doi.org/10.1144/gsl.sp.1996.101.01.20,SouthAtlantic,this study,caco3,"Thomas et al., 1999",https://doi.org/10.1029/1999PA900031,-17.75,-34.95,caco3,1.76,-28.04,-3.8,-41.45,-7.75,-34.95,-17.75,-34.95,83,2.9,6,1.6,1.2,6,,83,2.9,6,1.6,1.2,6,30.318,29.311,13,85.39,4.561089051,7,,,,,,,,
DSDP 549,1500,1500,"Winguth et al., 2012",https://doi.org/10.1130/G32529.1,NorthAtlantic,"Panchunk et al., 2008",caco3,"Thomas & Bralower, 2005",https://doi.org/10.1016/j.margeo.2005.02.009,-20.01,41.8,caco3,-13.1,49.09,-7.75,37.95,-14.75,43.75,-20.01,43.75,51,,,1,,,,55.3,2.6,4,0.7,0.1,5,0.682,0.116,5,45.05928571,2.944432724,14,,,,,,,,
DSDP 577,2200,2200,"Takeda & Kaiho, 2007",https://doi.org/10.1016/j.palaeo.2007.02.026,Pacific,"Panchunk et al., 2008",caco3,"Bralower et al., 2002, Quillévéré et al., 2002",https://doi.org/10.1029/2001PA000662; https://doi.org/10.1016/S0031-0182(02)00275-4,-156.55,27.45,caco3,157.72,32.44,-156.55,27.45,-162.55,21.35,-156.55,27.45,96,,,,,,,96,,,,,,,,,,,,,,,,,,,
ODP 738,1350,1350,"Barrera & Huber, 1991",http://doi.org/10.2973/odp.proc.sr.119.167.1991,Indian,"Panchunk et al., 2008",caco3,"Barron et al., 1989",https://doi.org/10.2973/odp.proc.ir.119.1989,79.4,-62.2,caco3,82.79,-62.71,97.05,-63.55,79.4,-62.2,79.4,-62.2,90,,,70,,,,89.5,,1,69.6,,1,69.6,,1,88.8,,1,,,,,,,,
ODP 766,3476,3476,"Ludden et al., 1990",http://doi.org/10.2973/odp.proc.ir.123.105.1990,Indian,"Panchunk et al., 2008",caco3,"Ludden et al., 1990",https://doi.org/10.2973/odp.proc.ir.123.105.1990,89,-42.7,caco3,110.4541,-19.932,106.85,-42.7,95.55,-42.85,89,-42.7,93,,,,,,,93,,,,,,,,,,,,,,,,,,,
ODP 689,1100,1100,"Thomas & Shackleton, 1996",https://doi.org/10.1144/gsl.sp.1996.101.01.20,Southern,"Panchunk et al., 2008",caco3,"Shipboard Scientific Party, 1988",http://dx.doi.org/10.2973/odp.proc.ir.113.106.1988,-5.85,-70.8,caco3,3.1,-64.52,4.15,-71.45,0.65,-65,4.15,-70,91,1.9,4,,,,,91.2,1.9,4,81.7,,1,81.7,,1,88.56666667,3.082747692,3,,,,,,,,
ODP 690,1900,1900,"Thomas & Shackleton, 1996",https://doi.org/10.1144/gsl.sp.1996.101.01.20,Southern,"Panchunk et al., 2008",caco3,"Thomas et al., 1999",http://dx.doi.org/10.1029/1999PA900031,-8.55,-70.75,caco3,1.2,-65.16,1.45,-71.4,-1.35,-65.05,-5,-65.05,84,,,60,,,,82.8,1.6,2,59.6,,1,66.01,3.098,8,73.92,2.086671991,4,,,,,,,,
ODP 865,1500,1500,"Bralower et al., 1995",http://doi.org/10.1029/95PA01143,Pacific,"Panchunk et al., 2008",caco3,"Shipboard Scientific Party, 1995; Thomas et al., 1999",http://dx.doi.org/10.2973/odp.proc.ir.143.106.1993; http://dx.doi.org/10.1029/1999PA900031,-138.05,10.35,caco3,-179.55,18.43,-138.05,10.35,-143.85,4.85,-138.05,10.35,96,,,93,,,,95.8,,,92.5,,,92.5,,,95.9,,,,,,,,,,
ODP 959,1000,1000,"Frieling et al., 2018",http://doi.org/10.5194/cp-14-39-2018,SouthAtlanticMargin,this study,caco3,"Frieling et al., 2018",http://dx.doi.org/10.5194/cp-14-39-2018,-15.63583,-3.5225,caco3,-2.73583,3.6275,-3.4,-9.15,-8.55,-2.65,-3.4,-10,5.1,7.4,63,0.5,0.4,11,,5.1,7.4,63,0.5,0.4,11,1.215,1.613,111,13.50266625,3.567807208,16,,,,,,,,
ODP 999,1750,1750,"Thomas et al., 1999",http://dx.doi.org/10.1029/1999PA900031,Caribbean,"Panchunk et al., 2008",caco3,"Bralower et al., 1997",http://dx.doi.org/10.1130/0091-7613(1997)025<0963:HRROTL>2.3.CO;2,-87.45,9.6,caco3,-78.73,12.75,-71.65,2.85,-77.45,3.75,-77.45,3.75,61,,,0,,,,55.3,8.1,2,0.3,0,6,0.255,0.05,6,59.435,12.52872566,4,,,,,,,,
ODP 1001,1500,1500,"Thomas et al., 1999",http://dx.doi.org/10.1029/1999PA900031,Caribbean,"Panchunk et al., 2008",caco3,"Bralower et al., 1997",http://dx.doi.org/10.1130/0091-7613(1997)025<0963:HRROTL>2.3.CO;2,-69.15,12.9,caco3,-74.92,15.75,-59.15,12.25,-66.8,14.55,-59.15,12.25,45,,,0,,,,65.2,13.9,13,2.6,2.6,3,2.637,2.64,3,67.21833333,17.26551046,12,,,,,,,,
ODP 1050,1800-2800,2300,"Norris et al., 1998; Rudnicki et al., 2001",http://dx.doi.org/10.2973/odp.proc.ir.171b.105.1998; http://dx.doi.org/10.1029/2000pa000551,NorthAtlantic,"Panchunk et al., 2008",caco3,"Rudnicki et al., 2001",http://dx.doi.org/10.1029/2000pa000551,-61.25,30.15,caco3,-76.235,30.09994,-51.25,25.95,-59.65,28.9,-51.25,25.95,63,,,57,,,,63,,,57,,,57,,,,,,,,,,,,,
ODP 1051,1500,1500,"Norris et al., 1998",http://dx.doi.org/10.2973/odp.proc.ir.171b.105.1998,NorthAtlantic,"Panchunk et al., 2008",caco3,"Rudnicki et al., 2001",http://dx.doi.org/10.1029/2000pa000551,-61.37,30.1,caco3,-76.36,30.05,-51.25,25.95,-59.65,28.9,-51.25,25.95,56,,,52,,,,56,,,52,,,52,,,,,,,,,,,,,
ODP 1135,1000-2000,1500,"Panchuk et al., 2008",http://dx.doi.org/10.1130/G24474A.1,Southern,"Panchunk et al., 2008",caco3,"Shipboard Scientific Party, 2000",http://doi.org/10.2973/odp.proc.ir.183.103.2000,76.55,-60.55,caco3,84.27353,-59.69991,96.55,-60.55,80.35,-59.15,96.55,-60.55,95,,,,,,,95,,,,,,,,,,,,,,,,,,,
ODP 1138,600-1200,900,"Quilty et al., 1992",https://doi.org/10.2973/odp.proc.sr.120.173.1992,Indian,"Panchunk et al., 2008",caco3,"Shipboard Scientific Party, 2000",http://doi.org/10.2973/odp.proc.ir.183.106.2000,66.15,-55.55,caco3,75.97488,-53.55175,86.15,-55.55,72.4,-53.3,72.4,-55.55,93,,,,,,,93,,,,,,,,,,,,,,,,,,,
ODP 1172,300,300,"Hollis et al., 2019",https://doi.org/10.5194/gmd-12-3149-2019,Southern,this study,caco3,"Sluijs et al., 2011",http://doi.org/10.5194/cp-7-47-2011,142,-64.45,caco3,150,-44,169.35,-58.75,159,-64.45,149,-64.45,0.1,0.1,99,0.1,0.1,42,,0.1,0.1,99,0.129,0.062,42,0.129,0.062,42,0.01982886,0.018325827,114,,,,,,,,
ODP 1209,1900,1900,"Dutton et al., 2005",https://doi.org/10.1029/2004PA001098,Pacific,"Panchunk et al., 2008",caco3,"Colosimo et al., 2006",http://doi.org/10.2973/odp.proc.sr.198.112.2006,-155.45,28.35,caco3,158.50594,32.65180167,-155.45,28.35,-161.45,22.2,-155.45,28.35,96,,,84,,,,95.7,1.2,8,84,,1,90.037,3.731,11,94.82714286,1.192027546,14,,,,,,,,
ODP 1210,2100,2100,"Takeda & Kaiho, 2007",https://doi.org/10.1016/j.palaeo.2007.02.026,Pacific,"Panchunk et al., 2008",caco3,"Colosimo et al., 2006",http://doi.org/10.2973/odp.proc.sr.198.112.2006,-155.69654,27.92169833,caco3,158.2594,32.2235,-156.55,27.45,-162.55,21.35,-156.55,27.45,92,,,86,,,,92.9,2,11,85.8,,1,88.129,1.712,11,89.86380952,1.894540779,21,,,,,,,,
ODP 1211,2400,2400,"Takeda & Kaiho, 2007",https://doi.org/10.1016/j.palaeo.2007.02.026,Pacific,"Panchunk et al., 2008",caco3,"Colosimo et al., 2006",http://doi.org/10.2973/odp.proc.sr.198.112.2006,-156.10594,27.70039833,caco3,157.85,32.0022,-156.55,27.45,-162.55,21.35,-156.55,27.45,95,,,78,,,,96.6,2.6,2,78.3,,1,78.75,8.548,3,95.73,2.922031257,4,,,,,,,,
ODP 1212,2200,2200,"Takeda & Kaiho, 2007",https://doi.org/10.1016/j.palaeo.2007.02.026,Pacific,"Panchunk et al., 2008",caco3,"Colosimo et al., 2006",http://doi.org/10.2973/odp.proc.sr.198.112.2006,-156.24424,28.14649833,caco3,157.7117,32.4483,-156.55,27.45,-162.55,21.35,-156.55,27.45,98,,,83,,,,96.2,1.3,4,83.3,,1,90.972,5.387,9,,,,,,,,,,,
ODP 1215,3200,3200,"Rea & Lyle, 2005",https://doi.org/10.1029/2004PA001064,Pacific,"Panchunk et al., 2008; this study",caco3,Leon-Rodriguez & Dickens 2010,https://doi.org/10.1016/j.palaeo.2010.10.029,-127.3,15.3,caco3,-147.9332,26.0296,-107.3,15.3,-114.05,12.25,-107.3,15.3,74,,,8.3,,,,70.2,10,11,8.3,1.3,2,17.304,8.721,5,82.76209083,2.256586691,6,,,,,,,,
ODP 1220,2900,2900,"Rea & Lyle, 2005",https://doi.org/10.1029/2004PA001064,Pacific,"Panchunk et al., 2008",caco3,"Shipboard Scientific Party, 2002",http://doi.org/10.2973/odp.proc.ir.199.113.2002,-123.2,-0.9,caco3,-142.7582,10.18,-103.2,-0.9,-108.35,-3.45,-103.2,-0.9,90,,,0,,,,76.2,15.4,2,0,,1,0,,25,79.106,15.30686063,10,,,,,,,,
ODP 1221,3200,3200,"Rea & Lyle, 2005",https://doi.org/10.1029/2004PA001064,Pacific,"Panchunk et al., 2008",caco3,"Murphy et al., 2006",http://doi.org/10.2973/odp.proc.ir.199.114.2002,-124.1318,1.15,caco3,-143.69,12.03,-104.1,1.15,-109.45,-1.55,-104.1,1.15,74,,,3,,,,45.4,16.4,34,2.7,1.4,13,2.724,1.441,13,82.46153846,7.457227678,52,,,,,,,,
ODP 1258,2500,2500,"Sexton et al., 2006",https://doi.org/10.1029/2005PA001253,Atlantic,"Bralower et al., 2018",caco3,"Bralower et al., 2018",https://doi.org/10.1029/2018PA003382,-46.44332333,0.413338333,caco3,-54.73332333,9.433338333,,,,,,,33.58,0,1,0.72,0,1,,,,,,,,,,,,,,,,,,,,,
ODP 1260,1300,1900,"Bralower et al., 2018",https://doi.org/10.1029/2018PA003382,Atlantic,this study,caco3,"Mutterlose et al., 2007",https://doi.org/10.1016/j.marmicro.2007.05.004,-46.25,0.25,caco3,-54.54,9.27,-36.25,0.25,-41.8,4.85,-36.25,0.25,57.1,4.8,12,1,,2,,57.1,4.8,12,1,,2,1,,2,63.15,3.473230965,4,,,,,,,,
ODP 1262,3600,3600,"Zachos et al., 2005",https://doi.org/10.1126/science.1109004,Walvis,this study,caco3,"Zachos et al., 2005",https://doi.org/10.1126/science.1109004,-17.933,-34.095833,caco3,1.577,-27.185833,-3.55,-40.5,-7.55,-34,-11,-37,88,1.8,7,0.7,0.1,9,,88.5,1.8,7,0.7,0.1,9,0.689,0.145,9,92.23571429,1.388749932,14,,,,,,,,
ODP 1263,1500,1500,"Zachos et al., 2005",https://doi.org/10.1126/science.1109004,Walvis,"Panchunk et al., 2008",caco3,"Zachos et al., 2005",https://doi.org/10.1126/science.1109004,-16.7305,-35.443,caco3,2.7795,-28.533,-2.85,-42.65,-6.85,-36.15,-12,-38,88,,,1,,,,87,1.9,10,1.3,,1,2.7,1.453,3,90.125,0.320156212,4,,,,,,,,
ODP 1265,1850,1850,"Zachos et al., 2005",https://doi.org/10.1126/science.1109004,Walvis,this study,caco3,"Zachos et al., 2005",https://doi.org/10.1126/science.1109004,-16.87,-35.75,caco3,2.64,-28.84,-2.85,-42.65,-6.85,-36.15,-13,-38.5,89,3.4,16,32.3,3.3,2,,89,3.4,16,32.3,3.3,2,56.181,13.965,16,89.4,2.535087112,7,,,,,,,,
ODP 1266,2600,2600,"Zachos et al., 2005",https://doi.org/10.1126/science.1109004,Walvis,this study,caco3,"Zachos et al., 2005",https://doi.org/10.1126/science.1109004,-17.17,-35.45,caco3,2.34,-28.54,-4.05,-42.45,-7.95,-35.95,-10.5,-38.1,82.8,1.8,9,0.6,0.3,4,,82.8,1.8,9,0.6,0.3,4,0.6,0.271,4,90.24242424,2.664351504,33,,,,,,,,
ODP 1267,3200,3200,"Panchuk et al., 2008",http://dx.doi.org/10.1130/G24474A.1,Walvis,this study,caco3,"Zachos et al., 2005",https://doi.org/10.1126/science.1109004,-17.8,-35.01,caco3,1.71,-28.1,-3.8,-41.45,-7.75,-34.95,-3.8,-37.7,83.2,3.2,9,1.3,0.4,4,,83.2,3.2,9,1.3,0.4,4,1.335,0.388,4,89.49,1.499233137,3,,,,,,,,
IODP U1403,4374,4374,"Penman et al., 2016",https://doi.org/10.1038/ngeo2757,NorthAtlantic,this study,caco3,"Penman et al., 2016",https://doi.org/10.1038/ngeo2757,-41,37.5,caco3,-51.80333,39.943328,-26.85,30.25,-34.75,35.45,-26.85,30.25,0.4,0.1,15,0.3,0.1,5,,0.4,0.1,15,0.3,0.1,5,0.336,0.096,5,18.515,1.718269478,2,,,,,,,,
IODP U1409,2913,2913,"Penman et al., 2016",https://doi.org/10.1038/ngeo2757,NorthAtlantic,this study,caco3,"Penman et al., 2016",https://doi.org/10.1038/ngeo2757,-39,38,caco3,-49.233087,41.295737,-23.95,30.75,-31.85,36.1,-23.95,30.75,54.4,4.9,43,43.115,1.011162697,2,,54.4,4.9,43,55.663,4.733,4,55.663,4.733,4,70.91017241,2.538522496,58,,,,,,,,
Alamedilla,1000-2000,1500,"Lu et al., 1996",https://doi.org/10.1111/j.1365-3121.1996.tb00567.x,Tethyan ,this study,caco3,"Lu et al., 1996",http://doi.org/10.1111/j.1365-3121.1996.tb00567.x,-11.55,32.7,caco3,-2.766666667,37.58333333,1.45,26.05,-4.75,32.25,-8.55,26.05,73.52,5.45344976,8,24.002,13.88556157,5,,,,,,,,,,,,,,,,,,,,,
Tanzania TDP14,300-500,400,"Nicholas et al., 2006",https://doi.org/10.1016/j.jafrearsci.2006.04.003,Indian,this study,caco3,"Aze et al., 2014",http://doi.org/10.1130/G35637.1,29,-16,caco3,39.5,-9.27,39.75,-24.65,33.2,-18.65,29,-16,6.7,5.3,26,1.147,2.033,17,,6.7,5.3,26,1.147,2.033,17,1.147,2.033,17,16.18818182,16.84427845,11,,,,,,,,
Dababiya,150-175,162.5,Dupuis et al. 2003,http://doi.org/10.2113/49.Suppl_1.41,Tethyan ,this study,caco3,"Khozyem et al., 2015",https://doi.org/10.1016/j.palaeo.2015.04.003,22.85,23,caco3,32.52,25.5,32.85,10.2,28.05,16.5,22.85,10.2,43.39354264,6.314783501,26,1.318800889,1.520369728,10,,,,,,,,,,,,,,,,,,,,,
Gebel Qreiya,200-300,250,"Speijer & Wagner, 2002",https://doi.org/10.1130/0-8137-2356-6.533,Tethyan ,this study,caco3,"Speijer & Wagner, 2002",https://doi.org/10.1130/0-8137-2356-6.533,22.85,23.52,caco3,33.006,26.52,32.85,11.25,28.1,17.5,22.85,11.25,55.12,28.59,3,,,,,,,,,,,,,,,,,,,,,,,,paleodepth match with cgenie topography
Wadi Nukhl,>500,500,"Speijer & Wagner, 2002",https://doi.org/10.1130/0-8137-2356-6.533,Tethyan ,this study,caco3,"Speijer & Wagner, 2002",https://doi.org/10.1130/0-8137-2356-6.533,22.55,26.039,caco3,33.359,29.039,32.55,13.05,27.95,19.45,22.55,13.05,51.5,5.6,8,36.49,0,1,,,,,,,,,,,,,,,,,,,,,paleodepth match with cgenie topography
Zumaya,600-1500,1000,"Canudo et al., 1995; Alegret et al., 2009",https://doi.org/10.1016/0031-0182(95)00073-U; http://doi.org/10.2110/palo.2008.p08-057r,Tethyan ,this study,caco3,"Schmitz et al., 1997",https://doi.org/10.1016/S0031-0182(97)00024-2,-10.35,37.8,caco3,-2.25,43.3,2.65,31.15,-3.45,37.35,-7.35,31.15,53.65527335,11.46496509,24,3.53768512,3.22665339,9,,,,,,,,,,,,,,,,,,,,,
Trabakua Pass,600-1500,1000,"this study, use nearby Zumaya paleodepth",,Tethyan ,this study,caco3,"Bolle, 1998",http://doi.org/10.5169/seals-168405,-10.58,37.8,caco3,-2.48,43.3,2.65,31.15,-3.45,37.35,-7.35,31.15,45.83,9.060679,11,9.7,1.481992,3,,,,,,,,,,,,,,,,,,,,,
Dzhengutay,280,280,"this study, based on cGENIE topo",,Tethyan ,this study,caco3,Gavrilov et al 2009,https://www.academia.edu/download/35226154/2009_Gavr_Scherb_Golov_Pokr_NZ.pdf,44.35,42.69,caco3,47.24,42.69,44.35,36.15,42.05,41.75,34.35,36.15,22.74798648,14.27282676,6,15.16008472,8.210206296,8,,,,,,,,,,,,,,,,,,,,,
Kheu,280,280,"this study, based on cGENIE topo",,Tethyan ,this study,caco3,Gavrilov et al 2003,https://doi.org/10.1130/0-8137-2369-8.147,41.75,43.4,caco3,43.63,43.4,41.75,35.85,39.15,41.45,31.75,35.85,12.99153402,0,1,1.069806475,0.762923554,2,,,,,,,,,,,,,,,,,,,,,
Sulak River,280,280,"this study, based on cGENIE topo",,Tethyan ,this study,caco3,Gavrilov et al 2003,https://doi.org/10.1130/0-8137-2369-8.147,44.35,42.856151,caco3,46.857568,42.856151,44.35,36.15,42.05,41.75,34.35,36.15,49.160182,8.803752705,3,2.425167031,0.063054283,3,,,,,,,,,,,,,,,,,,,,,
Torangly,80,80,"this study, based on cGENIE topo",,Tethyan ,this study,caco3,Gavrilov et al 2003,https://doi.org/10.1130/0-8137-2369-8.147,55.55,38.13,caco3,58.42,38.13,55.55,32.95,53.65,37.85,45.55,32.95,20.85986236,2.29335632,2,1.342352149,0.932677239,2,,,,,,,,,,,,,,,,,,,,,
Forada,600-1000,1000,Giusberti et al 2007,https://doi.org/10.1130/B25994.1,Tethyan ,this study,caco3,Giusberti et al 2007,https://doi.org/10.1130/B25994.1,10.05,40,caco3,12.02,46.04,15.05,31.05,9.75,37.75,5.05,31.05,50.21428571,6.782880843,14,13.02,6.818504235,5,,,,,,,,,,,,,,,,,,,,,
Mine,80,80,"this study, based on cGENIE topography",,Tethyan ,this study,caco3,"Kaya et al., 2022",https://doi.org/10.1038/s43247-022-00451-4,59.85,39.84766667,caco3,74.50206667,39.84766667,71.85,37.35,71.25,40.95,61.85,37.35,10.91603449,2.096278754,4,7.148252194,4.047335348,7,,,,,,,,,,,,,,,,,,,,,"cgenie: land, not shallow sea"
Howards Tract,120-140,130,"Robinson & Spivey, 2019",https://doi.org/10.1029/2018PA003357,NorthAtlantic,this study,caco3,"Li et al., 2022",https://doi.org/10.1038/s41467-022-33390-x,-59.5,38.44827,caco3,-76.14159,38.44827,,,,,,,5.435897436,1.155278668,13,0.393777777,0.162931108,6,,,,,,,,,,,,,,,,,,,,,
Bass River,140-150,145,"Stassen et al., 2015", https://doi.org/10.1016/j.marmicro.2014.12.001,NorthAtlantic,"Bralower et al., 2018",caco3,"John et al., 2008",https://doi.org/10.1029/2007PA001465,-57.78841,39.6,caco3,-74.43,39.6,-46.05,34.95,-55.55,38.45,-55.55,38.45,7.17,,,1.33,,,,,,,,,,,,,,,,,,,,,,,
South Dover Bridge,120-130,125,"Robinson & Spivey, 2019",https://doi.org/10.1029/2018PA003357,NorthAtlantic,"Bralower et al., 2018",caco3,"Self-Trail et al., 2012",https://doi.org/10.1016/j.marmicro.2012.05.003,-59.36535444,38.74694444,caco3,-76.00694444,38.74694444,,,,,,,16.57,,,0,,,,,,,,,,,,,,,,,,,,,,,
Wilson Lake,100-110,105,"Stassen et al., 2015", https://doi.org/10.1016/j.marmicro.2014.12.001,NorthAtlantic,"Bralower et al., 2018",caco3,"John et al., 2008",https://doi.org/10.1029/2007PA001465,-58.40561,39.65978333,caco3,-75.0472,39.65978333,,,,,,,3.51,,,0,,,,,,,,,,,,,,,,,,,,,,,
Cam-Dor,120-130,125,"Robinson & Spivey, 2019",https://doi.org/10.1029/2018PA003357,NorthAtlantic,"Bralower et al., 2018",caco3,"Bralower et al., 2018",https://doi.org/10.1029/2018PA003382,-59.386612,38.533587,caco3,-76.028202,38.533587,,,,,,,8.16,,,0.01,,,,,,,,,,,,,,,,,,,,,,,
Millville,100-110,105,"Stassen et al., 2015", https://doi.org/10.1016/j.marmicro.2014.12.001,NorthAtlantic,"Bralower et al., 2018",caco3,"Wright & Schaller, 2013",https://doi.org/10.1073/pnas.1309188110,-58.35841,39.4,caco3,-75,39.4,-47.25,34.25,-56.75,37.65,-56,38.25,3.6,,,0.3,,,,,,,,,,,,,,,,,,,,,,,
Tawanui,500-1000,750,"Kaiho et al., 1993",https://doi.org/10.1016/0377-8398(93)90053-Z,Pacific,this study,caco3,"Crouch et al., 2003",https://doi.org/10.1016/S0031-0182(03)00334-1,-165.95,-46.95,caco3,176.38,-40.38,-165.95,-46.95,-171.15,-53.05,-165.95,-46.95,12.6,5,6,9.6,0.4,2,,12.6,5,6,9.6,0.4,2,12.107,3.062,14,20.13333333,5.052062285,3,,,,,,,,
mid-Waipara,500,500,"Hollis et al., 2012",https://doi.org/10.1016/j.epsl.2012.06.024,Pacific,this study,caco3,"Hollis et al., 2012",https://doi.org/10.1016/j.epsl.2012.06.024,-169.58,-48.75,caco3,172.75,-43.06666667,-157.15,-48.75,-160.85,-54.85,-161,-48.75,0,0,10,0.2,0.1,2,,0,0,10,0.2,0.1,2,0.166,0.057,2,,,,,,,,,,,
Mead Stream,200-1000,600,"Hollis et al., 2005",https://doi.org/10.1016/j.palaeo.2004.09.011,Pacific,"Bralower et al., 2018",caco3,Slotnick et al. 2012,https://doi.org/10.1086/666743,-169,-47,caco3,173.6,-41.9,,,,,,,62.2,,,36.81,,,,,,,,,,,,,,,,,,,,,,,